Paper_Name,Paper_ID,Exp_ID,Treatment_ID,Measure_ID,Exp_ID_Cleaned,ES_ID,Title,Authors,Year,Industry,Venue,Exp_Design,Comp_Type,Task_Desc,Marketing_Task,Task_Data_Cleaned,Task_Data_IsCategoric,Task_Data_IsCode,Task_Data_IsImage,Task_Data_IsNumeric,Task_Data_IsText,Task_Data_IsVideo,Task_Output,Task_Output_Cleaned,Task_Type,AI_Type,AI_Data_In,AI_Data_Out,AI_Type_Cleaned,Final_Decision,Division_Labor,Condition_Name,AI_Expl_Incl,AI_Conf_Incl,AI_Expl_Type,Perf_Metric,Perf_Metric_Cleaned,Perf_Dir,N_Exp,N_Human,N_HumanAI,Participant_Type,Participant_Type_2,Participant_Source,Participant_Expert,Participant_Crowdworker,Avg_Perf_Human,Avg_Perf_AI,Avg_Perf_HumanAI,Avg_Perf_Human_Adj,Avg_Perf_AI_Adj,Avg_Perf_HumanAI_Adj,Baseline,Avg_Perf_Baseline_Adj,Avg_Perf_Worse_Adj,Synergy,Sd_Perf_Human,Sd_Perf_AI,Sd_Perf_HumanAI,Sd_Perf_Baseline,Sd_Perf_Worse,Est_ES,Notes,Notes_2,es_s,variance_s,es_h,variance_h,es_a,variance_a,es_n,variance_n
Alufaisan_2021,46,1,2,1,46.1,49.1.2.1,Does explainable artificial intelligence improve human decision-making?,"Alufaisan, Yasmeen; Marusich, Laura R; Bakdash, Jonathan Z; Zhou, Yan; Kantarcioglu, Murat",2021,Public sector,Proceedings of the AAAI Conference on Artificial Intelligence,Between-Subjects,Independent Samples,Predict recidivism,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,,Yes,No,,Accuracy,Accuracy,Up,150,50,50,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.6368,0.8385,0.7447,0.6368,0.8385,0.7447,AI,0.8385,0.6368,0,0.0985,0.0367,0.0997,0.0367,0.0985,No,HAI = Level 1,,-1.2390360049723468,0.0469472559573536,1.0804254324168023,0.045135919075965036,-1.2390360049723468,0.0469472559573536,1.0804254324168023,0.045135919075965036
Alufaisan_2021,46,2,1,1,46.2,49.2.1.1,Does explainable artificial intelligence improve human decision-making?,"Alufaisan, Yasmeen; Marusich, Laura R; Bakdash, Jonathan Z; Zhou, Yan; Kantarcioglu, Murat",2021,Public sector,Proceedings of the AAAI Conference on Artificial Intelligence,Between-Subjects,Independent Samples,Predict recidivism,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,,No,No,,Accuracy,Accuracy,Up,150,50,50,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.6122,0.6918,0.6341,0.6122,0.6918,0.6341,AI,0.6918,0.6122,0,0.0924,0.0465,0.0883,0.0465,0.0924,No,HAI = Level 2,,-0.8113997329741083,0.042630071167217544,0.24046903700898853,0.0396732511122581,-0.8113997329741083,0.042630071167217544,0.24046903700898853,0.0396732511122581
Alufaisan_2021,46,2,2,1,46.2,49.2.2.1,Does explainable artificial intelligence improve human decision-making?,"Alufaisan, Yasmeen; Marusich, Laura R; Bakdash, Jonathan Z; Zhou, Yan; Kantarcioglu, Murat",2021,Public sector,Proceedings of the AAAI Conference on Artificial Intelligence,Between-Subjects,Independent Samples,Predict recidivism,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,,Yes,No,,Accuracy,Accuracy,Up,150,50,50,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.6122,0.6918,0.6077,0.6122,0.6918,0.6077,AI,0.6918,0.6122,0,0.0924,0.0465,0.0817,0.0465,0.0924,No,HAI = Level 3,Based on binomial model for AI condition,-1.2554808542038585,0.04714923033582381,-0.05120118861417359,0.03940145146836098,-1.2554808542038585,0.04714923033582381,-0.05120118861417359,0.03940145146836098
Libby_Witz_2024,83,3,1,1,3.1,Libby_Witz_2024_1,Can Artificial Intelligence Reduce the Effect of Independence Conflicts on Audit Firm Liability?,"Robert Libby, Christina M. Witz",2024,Public sector,Contemporary Accounting Research,Between-subjects ,Dependent Samples,Assessing audit firm negligence based on analytical procedures conducted by human vs AI,Numeric,Numeric,No,No,No,Yes,No,No,Categoric,Categoric,Decide,Deep,Continuous,Continuous,Deep,Human,No,"Human alone, AI alone, Human-AI collaboration",Yes,Yes,Text-based explanations,Specificity,Specificity,Up,3,208,208,Crowdworkers,Crowdworkers,Prolific,No,Yes,0.654,0.512,0.512,0.346,0.488,0.488,AI,0.488,0.346,0,0.2139,0.2574,0.2574,0.2574,0.2139,Yes,Performance measured as inverse of perceived negligence probability (lower = better),AI reduced perceived liability compared to human auditors,0.0,0.009580556809589039,0.5989504891781978,0.010010174950403503,0.0,0.009580556809589039,0.5989504891781978,0.010010174950403503
Lu_Peng_2024,84,4,1,1,4.1,Lu_Peng_2024_1,Human-AI Collaboration: Unraveling the Effects of User Proficiency and AI Agent Capability in Intelligent Decision Support Systems,"Lu Peng, Xiangbin Yan, Yunan Hu, Xin Luo",2024,Public sector,Decision Support Systems,Between-subjects,Dependent Samples,Decision-making accuracy in an AI-assisted decision support system,Text,Image,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Deep,Continuous,Continuous,Deep,Human,No,"Human alone, AI alone, Human-AI collaboration",Yes,Yes,Text-based decision rationale,Accuracy,Accuracy,Up,4,320,320,Crowdworkers,Crowdworkers,Prolific,No,Yes,0.542,0.8,0.668,0.542,0.8,0.668,AI,0.8,0.542,0,0.19,0.0,0.13,0.0,0.19,Yes,Performance measured as accuracy in AI-assisted decision support tasks,Human-AI collaboration improved accuracy but did not exceed AI baseline,,,0.7731016019964969,0.006701153170422899,,,0.7731016019964969,0.006701153170422899
Liu_2021,9,1,1,1,9.1,9.1.1.1,Understanding the Effect of Out-of-Distribution Examples and Interactive Explanations on Human-AI Decision Making,"Liu, Han; Lai, Vivian; Tan, Chenhao",2021,Public sector,Proc. ACM Hum.-Comput. Interact.,Between-Subjects,Independent Samples,Predict pre-trial violations,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,"ICPSR, IND, H = None/None, HAI = Static/Static",Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,1296,216,216,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.609,0.684,0.615,0.609,0.684,0.615,AI,0.684,0.609,0,0.141,0.0,0.113,0.0,0.141,No,"ICPSR, IND, H = None/None, HAI = Static/Static",,,,0.04687767483470622,0.0092295034809157,,,0.04687767483470622,0.0092295034809157
Liu_2021,9,1,2,1,9.1,9.1.2.1,Understanding the Effect of Out-of-Distribution Examples and Interactive Explanations on Human-AI Decision Making,"Liu, Han; Lai, Vivian; Tan, Chenhao",2021,Public sector,Proc. ACM Hum.-Comput. Interact.,Between-Subjects,Independent Samples,Predict pre-trial violations,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,"ICPSR, IND, H = None/None, HAI = Inter/Inter",Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,1296,216,216,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.609,0.684,0.607,0.609,0.684,0.607,AI,0.684,0.609,0,0.141,0.0,0.147,0.0,0.141,No,"ICPSR, IND, H = None/None, HAI = Inter/Inter",,,,-0.013861642147771976,0.009227190543610158,,,-0.013861642147771976,0.009227190543610158
Liu_2021,9,1,3,1,9.1,9.1.3.1,Understanding the Effect of Out-of-Distribution Examples and Interactive Explanations on Human-AI Decision Making,"Liu, Han; Lai, Vivian; Tan, Chenhao",2021,Public sector,Proc. ACM Hum.-Comput. Interact.,Between-Subjects,Independent Samples,Predict pre-trial violations,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,"ICPSR, OOD, H = None/None, HAI = Static/Static",Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,1296,216,216,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.559,0.55,0.562,0.559,0.55,0.562,Human,0.559,0.55,1,0.166,0.0,0.109,0.166,0.0,No,"ICPSR, OOD, H = None/None, HAI = Static/Static",,0.021326801372389015,0.00922749351959347,0.021326801372389015,0.00922749351959347,,,,
Liu_2021,9,1,4,1,9.1,9.1.4.1,Understanding the Effect of Out-of-Distribution Examples and Interactive Explanations on Human-AI Decision Making,"Liu, Han; Lai, Vivian; Tan, Chenhao",2021,Public sector,Proc. ACM Hum.-Comput. Interact.,Between-Subjects,Independent Samples,Predict pre-trial violations,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,"ICPSR, OOD, H = None/None, HAI = Inter/Inter",Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,1296,216,216,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.559,0.55,0.556,0.559,0.55,0.556,Human,0.559,0.55,0,0.166,0.0,0.1,0.166,0.0,No,"ICPSR, OOD, H = None/None, HAI = Inter/Inter",,-0.021854355037668454,0.009227519793822704,-0.021854355037668454,0.009227519793822704,,,,
Liu_2021,9,3,1,1,9.3,9.3.1.1,Understanding the Effect of Out-of-Distribution Examples and Interactive Explanations on Human-AI Decision Making,"Liu, Han; Lai, Vivian; Tan, Chenhao",2021,Public sector,Proc. ACM Hum.-Comput. Interact.,Between-Subjects,Independent Samples,Predict recidivism,"Categoric, Numeric",Multiple,Yes,No,No,Yes,No,No,Binary,Binary,Decide,Shallow,"Categoric, Numeric",Binary,Shallow,Human,No,"BIOS, IND, H = None/None, HAI = Static/Static",Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,1296,216,216,Crowdworkers,Crowdworkers,MTurk,No,Yes,0.6,0.655,0.586,0.6,0.655,0.586,AI,0.655,0.6,0,0.156,0.0,0.143,0.0,0.156,No,"BIOS, IND, H = None/None, HAI = Static/Static",,,,-0.09339382252776648,0.009237029100218227,,,-0.09339382252776648,0.009237029100218227
